Date,Open,High,Low,Close,Adj Close,Volume
2011-06-06,46.860001,48.220001,46.740002,47.950001,38.797211,1448300
2011-06-13,48.020000,48.570000,46.259998,47.090000,38.101387,4599700
2011-06-20,46.900002,49.139999,46.750000,48.070000,38.894306,4021900
2011-06-27,48.040001,50.220001,47.439999,50.049999,40.496365,3997000
2011-07-04,49.889999,49.889999,48.380001,49.570000,40.107986,4583300
2011-07-11,48.770000,50.000000,48.000000,49.169998,39.784332,3855400
2011-07-18,49.110001,50.570000,48.419998,50.430000,40.803829,3088500
2011-07-25,49.880001,50.610001,45.799999,47.009998,38.036644,4031200
2011-08-01,47.680000,47.889999,40.830002,42.439999,34.338982,5329600
2011-08-08,40.849998,41.340000,36.959999,40.759998,32.979652,8206300
2011-08-15,41.230000,41.639999,36.740002,37.290001,30.172028,3704100
2011-08-22,38.500000,39.110001,36.709999,38.900002,31.567348,2202900
2011-08-29,39.730000,43.650002,38.430000,38.790001,31.478069,3057700
2011-09-05,37.500000,40.549999,36.610001,38.500000,31.242729,2520400
2011-09-12,38.000000,41.459999,37.529999,40.580002,32.930649,3323100
2011-09-19,39.580002,39.910000,32.750000,34.180000,27.737055,2867400
2011-09-26,35.180000,38.689999,33.380001,34.009998,27.599108,2954000
2011-10-03,33.650002,37.709999,31.090000,36.099998,29.295135,4465800
2011-10-10,37.220001,40.060001,37.070000,39.799999,32.297691,2008200
2011-10-17,39.509998,40.930000,37.580002,40.509998,32.873848,2678300
2011-10-24,40.880001,46.700001,39.700001,45.990002,37.320858,3011300
2011-10-31,45.150002,45.860001,41.200001,45.520000,36.939465,4450800
2011-11-07,45.619999,46.320000,42.410000,45.259998,36.728474,2761900
2011-11-14,45.150002,46.689999,42.880001,44.070000,35.762794,3231800
2011-11-21,42.770000,44.080002,41.810001,42.110001,34.172253,3263000
2011-11-28,44.279999,49.799999,43.639999,48.860001,39.763000,3968100
2011-12-05,49.830002,50.919998,47.619999,49.270000,40.096661,3644400
2011-12-12,47.930000,48.410000,44.650002,47.500000,38.656212,3598700
2011-12-19,47.709999,49.880001,45.990002,49.830002,40.552406,2650500
2011-12-26,49.470001,49.950001,47.490002,48.689999,39.624641,1298500
2012-01-02,49.930000,53.080002,49.660000,52.860001,43.018253,3362100
2012-01-09,52.950001,54.709999,52.259998,53.669998,43.677448,2550800
2012-01-16,54.439999,57.299999,53.770000,54.910000,44.686569,2517000
2012-01-23,55.099998,56.060001,52.799999,54.930000,44.702854,4033400
2012-01-30,53.360001,56.540001,52.320000,55.990002,45.565491,2934900
2012-02-06,55.689999,55.889999,53.000000,53.650002,43.661171,2097700
2012-02-13,54.150002,56.369999,51.900002,55.860001,45.459698,4390000
2012-02-20,56.160000,57.700001,53.509998,54.709999,44.523811,3537200
2012-02-27,54.220001,55.759998,53.259998,54.740002,44.548229,2990900
2012-03-05,54.480000,54.980000,52.259998,53.799999,43.903965,2634400
2012-03-12,53.889999,57.450001,53.220001,57.419998,46.858093,3688200
